name|price|URL|description|rating
Casual Hoodie|39.99|/clothes/casualHoodie.jpg|A relaxed everyday casual wear hoodie, perfect for lounging or running errands. Material: 80% Cotton, 20% Polyester. Color: Heather Grey. Sizes Available: S, L. Price: $39.99|4.5
Checkered Tee|24.99|/clothes/checkeredTee.jpg|A laid-back casual outing tee great for daytime hangouts and weekend wear. Material: 100% Soft Breathable Cotton. Color: Black & White. Sizes Available: S, M. Price: $24.99|3.5
Graphic Tee|22.99|/clothes/graphicTee.jpg|A bold streetwear casual top ideal for everyday edgy looks and casual outings. Material: 100% Cotton. Color: White with Graphic Print. Sizes Available: S, M, L. Price: $22.99|4.0
Sweater|44.99|/clothes/sweater.jpg|A cozy cold-weather casual wear piece, great for cool days and relaxed outings. Material: Wool & Acrylic Blend. Color: Cream. Sizes Available: M, L. Price: $44.99|5.0
Floral Dress|59.99|/clothes/floralDress.jpg|A breezy spring/summer outing dress, perfect for brunches, garden parties, and daytime events. Material: 100% Lightweight Chiffon. Color: Pink Floral Print. Sizes Available: S, M, L. Price: $59.99|4.5
Party Dress|79.99|/clothes/partyDress.jpg|A glamorous night out / formal evening wear dress, perfect for parties, dinners, and special occasions. Material: Shimmering Polyester Blend. Color: Midnight Black. Sizes Available: S, M. Price: $79.99|3.0
Denim Jacket|64.99|/clothes/denim.jpg|A timeless casual layering piece suited for everyday outings and relaxed weekend style. Material: 100% Durable Denim. Color: Classic Blue. Sizes Available: S, M, L. Price: $64.99|4.0
Creme Trench Coat|89.99|/clothes/cremeTrenchCoat.jpg|A sophisticated outerwear piece ideal for transitional weather and smart-casual outings. Material: Cotton & Polyester Blend. Color: Creme / Off-White. Sizes Available: M, L. Price: $89.99|3.5
Jacket|54.99|/clothes/jacket.jpg|A versatile casual to semi-formal jacket suitable for daily wear and light outdoor activities. Material: Polyester Shell with Inner Lining. Color: Olive Green. Sizes Available: S, M, L. Price: $54.99|4.5
Office Blazer|69.99|/clothes/officeBlazer.jpg|A sharp formal / office wear blazer designed for professional settings and smart-casual events. Material: Polyester-Viscose Blend. Color: Charcoal Grey. Sizes Available: S, L. Price: $69.99|5.0
Track Suit|49.99|/clothes/athleteOutfit.jpg|A functional activewear / athletic outfit perfect for workouts, morning runs, or casual wear. Material: Lightweight Breathable Polyester. Color: Navy Blue. Sizes Available: S, M, L. Price: $49.99|4.0
Preppy Sweater|45.99|/clothes/preppy.jpg|A refined smart-casual / outing sweater ideal for college settings, outings, and casual Fridays. Material: Cotton Blend. Color: Pastel Blue. Sizes Available: S, M. Price: $45.99|3.5
